epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63709,1.3756,4.36513,1.42623,0,0,0,0,1.42152,4.28703,1.40813,0.000154598,0.000154598,0.000154598
2,35.5422,1.31184,3.88335,1.3706,0.02769,0.34404,0.18977,0.07563,1.60215,3.57387,1.52739,0.000307062,0.000307062,0.000307062
3,43.0507,1.37136,3.2656,1.41316,0.69398,0.22494,0.22562,0.12515,1.69502,2.39697,1.62977,0.000453243,0.000453243,0.000453243
4,50.0978,1.36213,2.9754,1.37771,0.78334,0.23946,0.23011,0.1515,1.63249,2.22704,1.59282,0.000447726,0.000447726,0.000447726
5,57.2176,1.38935,2.68002,1.40469,0.80414,0.26281,0.25186,0.14726,1.6524,2.24638,1.61986,0.000438301,0.000438301,0.000438301
6,64.3767,1.29728,2.63237,1.39182,0.76407,0.31041,0.29758,0.18185,1.64757,2.13639,1.61445,0.000428876,0.000428876,0.000428876
7,71.6876,1.3418,2.55005,1.37483,0.79111,0.27707,0.29999,0.18258,1.60557,2.08603,1.5532,0.000419451,0.000419451,0.000419451
8,78.7719,1.26177,2.3646,1.34084,0.85625,0.27779,0.33669,0.20672,1.65462,1.86994,1.60315,0.000410026,0.000410026,0.000410026
9,85.9824,1.28588,2.2033,1.32882,0.86256,0.32511,0.34613,0.20768,1.62332,1.86227,1.55406,0.000400602,0.000400602,0.000400602
10,93.1439,1.30975,2.24501,1.33281,0.78466,0.34436,0.31377,0.19402,1.61655,1.98721,1.5446,0.000391177,0.000391177,0.000391177
11,100.16,1.21249,2.05387,1.27196,0.85181,0.35571,0.34869,0.21232,1.6419,1.94852,1.55736,0.000381752,0.000381752,0.000381752
12,107.272,1.20378,2.01339,1.27925,0.82334,0.31915,0.30955,0.20314,1.60034,1.96609,1.54529,0.000372327,0.000372327,0.000372327
13,114.404,1.24423,2.02337,1.26677,0.82651,0.30221,0.35287,0.23097,1.57811,1.99106,1.5075,0.000362902,0.000362902,0.000362902
14,121.319,1.1589,1.84653,1.24325,0.85208,0.34351,0.3402,0.23348,1.59644,1.91777,1.49742,0.000353478,0.000353478,0.000353478
15,128.413,1.10077,1.72916,1.20715,0.88664,0.30204,0.32273,0.20712,1.64323,1.85328,1.54891,0.000344053,0.000344053,0.000344053
16,135.56,1.12556,1.79932,1.23376,0.83742,0.30885,0.34823,0.21597,1.65131,1.84063,1.55943,0.000334628,0.000334628,0.000334628
17,142.615,1.12237,1.81217,1.23906,0.88875,0.27332,0.36841,0.24571,1.60765,1.73695,1.52648,0.000325203,0.000325203,0.000325203
18,149.697,1.1604,1.76893,1.26028,0.88811,0.3104,0.37544,0.24583,1.65549,1.8244,1.55844,0.000315778,0.000315778,0.000315778
19,156.788,1.05456,1.59123,1.212,0.90267,0.30952,0.36752,0.24837,1.672,1.73212,1.56018,0.000306354,0.000306354,0.000306354
20,163.932,1.07485,1.64877,1.18702,0.8193,0.35718,0.38104,0.24346,1.65187,1.69816,1.53942,0.000296929,0.000296929,0.000296929
